Data,preco_soja_usd_log_ret,petroleo_wti_usd_log_ret,dxy_index_log_ret,taxa_cambio_usd_brl_log_ret,Precip_Brasil_Media_mm,Precip_EUA_Media_mm,ONI,cvol_proxy_diff,imports_1000MT,Estoque_USA_MT,Estoque_Brasil_MT_diff,Estoque_Argentina_MT_diff
2005-03-01,0.019308725381430757,0.06815516160775958,0.01861133146071882,0.034351987640956254,183.6,60.4,0.012,-0.6990608470108555,1876.12632508834,0.6758687392055268,0.7074708454810495,0.33339860139860145
2005-04-01,-0.013234602636469979,-0.10817232711072777,0.004391959104437905,-0.05830920744344519,160.2,85.0,-0.434,-0.42465771958120513,1951.1713780918733,0.5702642487046632,0.7074708454810497,0.5556643356643356
2005-05-01,0.09395130929388675,0.04425936237784014,0.03868302728556626,-0.048088329981069794,106.3,109.5,-0.782,1.1010047240293943,2126.276501766785,0.4857806563039724,0.4244825072886296,0.4445314685314685
2005-06-01,-0.042799324849744566,0.08357400913204481,0.015265745657653507,-0.030807973914233164,80.4,116.3,-0.223,0.8945628378996275,2301.3816254416965,0.4224179620034543,-0.3395860058309035,0.1111328671328673
2005-07-01,0.030225194681989524,0.0695590828404606,0.0026896799808084253,0.018489204499366158,67.4,102.7,0.387,-0.513332659937987,2376.42667844523,0.4646597582037997,-0.36788483965014596,-0.3333986013986021
2005-08-01,-0.13528741276446773,0.12943684009586345,-0.020008580232184704,-0.01034746852542443,77.8,97.9,0.242,0.4392582746844482,2626.576855123676,0.591385146804836,-0.3395860058309035,-0.3333986013986008
2005-09-01,-0.02327691299311905,-0.03995205101171515,0.021909402630417577,-0.055873138795131456,114.1,83.8,0.571,-0.22072446692180847,2801.681978798588,2.112089810017271,-0.3112871720116621,-0.2667188811188812
2005-10-01,-0.014938766389901142,-0.10294796925244237,0.006125081791981662,0.010850016024065623,157.8,70.8,0.544,-0.7921107342744449,2876.72703180212,1.9431226252158893,-0.28298833819241986,-0.24449230769230756
2005-11-01,-0.0120241929668017,-0.04168693786459072,0.016516561323989376,-0.021682891086988388,170.6,60.2,0.123,0.254199735198938,2951.772084805654,1.7319136442141625,-0.2546895043731777,-0.20003916083916085
2005-12-01,0.07589848292751017,0.06287978401623044,-0.0043778115228292735,0.059377164317305844,194.0,42.6,0.231,0.8899120462460246,2751.651943462898,1.4784628670120896,-0.14149416909620982,-0.1333594405594407
