Data,preco_soja_usd,petroleo_wti_usd,dxy_index,taxa_cambio_usd_brl,Precip_Brasil_Media_mm,Precip_EUA_Media_mm,ONI,cvol_proxy,imports_1000MT,Estoque_USA_MT,Estoque_Brasil_MT,Estoque_Argentina_MT
2002-02-01,435.75,21.74,119.16,2.365,196.6,37.0,-0.687,85.3524210131205,1362.2120141342757,0.3185043177892919,0.924081632653061,0.6724895104895104
2002-03-01,476.25,26.31,118.62,2.325,183.6,60.4,-0.437,85.62363378810207,1418.9708480565373,0.2682141623488773,1.5841399416909618,0.9606993006993008
2002-04-01,462.25,27.29,115.19,2.361,160.2,85.0,-0.766,87.32089105901886,1475.729681978799,0.2263056994818653,2.2441982507288625,1.441048951048951
2002-05-01,508.75,25.31,111.81,2.518,106.3,109.5,-0.386,88.07513793833346,1608.1669611307425,0.1927789291882556,2.6402332361516034,1.8253286713286716
2002-06-01,536.5,26.86,106.11,2.8175,80.4,116.3,-0.51,89.20823690999464,1740.6042402826856,0.1676338514680483,2.323405247813411,1.9213986013986015
2002-07-01,567.5,27.02,107.41,3.46,67.4,102.7,-0.474,90.12125224633364,1797.3630742049472,0.1843972366148532,1.9801749271137024,1.633188811188811
2002-08-01,559.0,28.98,106.98,3.0075,77.8,97.9,-0.572,92.7529187653717,1986.5591872791524,0.2346873920552677,1.6633469387755102,1.344979020979021
2002-09-01,545.75,30.45,106.87,3.76,114.1,83.8,0.34,93.38590727879571,2118.996466431096,0.8381692573402417,1.3729212827988335,1.1144111888111887
2002-10-01,565.25,27.22,106.64,3.65,157.8,70.8,0.233,93.56311156933938,2175.7553003533567,0.7711157167530225,1.1088979591836732,0.9030573426573428
2002-11-01,578.75,26.89,106.41,3.653,170.6,60.2,-0.26,95.44728681515464,2232.5141342756183,0.6872987910189983,0.871276967930029,0.7301314685314686
2002-12-01,569.5,31.2,101.85,3.54,194.0,42.6,0.147,95.58901876417428,2081.157243816255,0.5867184801381692,0.739265306122449,0.6148475524475525
2003-01-01,564.0,33.51,99.91,3.504,207.1,32.2,-0.386,97.15736964756616,1121.8860424028271,0.2377461139896373,0.6396137026239068,0.5913566433566432
2003-02-01,577.0,36.6,99.71,3.57,196.6,37.0,-0.186,97.05839192402009,1077.0106007067138,0.2007633851468049,0.8954591836734693,0.6899160839160838
2003-03-01,574.5,31.04,99.06,3.364,183.6,60.4,-0.914,97.97827423744016,1121.8860424028271,0.1690639032815198,1.535072886297376,0.9855944055944056
